ACCE_ABSORB_COST	Custos da combinação: %d
MINI_GAME_CATCHKING_HELP_MSG3	Continua assim! O valor da tua carta é mais alto.\nVira outra carta.
MINI_GAME_CATCHKING_HELP_MSG4	Havia um [5] ao alcance da carta que revelaste.\nInfelizmente não ganhas quaisquer pontos. Agora selecciona o teu Rei [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	O rei fugiu! O jogo terminou. \nSe tiveres obtido pelo menos 10 pontos, podes agora recolher o teu prémio.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Não podes recolher qualquer prémio.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Existe um [5] por perto.
MINI_GAME_CATCHKING_START_QUESTION	Tens de pagar o seguinte para jogares: %d Yang e %s: %d lotes\nQueres jogar agora?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Pode apanhar a seguinte carta: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Pode apanhar as seguintes cartas: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Pode apanhar as seguintes cartas: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Pode apanhar as seguintes cartas: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Pode apanhar as seguintes cartas: [1], [2], [3], [4], [5]\nSe outro [5] estiver junto da carta que revelares,\no teu turno termina e não receberás quaisquer pontos.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Pode apanhar a seguinte carta: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 ou acima
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 a 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 a 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Ganhas 10 pontos bónus se revelares todas as cartas numa linha.
MINI_GAME_GIVEUP_QUESTION	Queres mesmo abandonar o jogo? Não irás receber qualquer recompensa.
MINI_GAME_NOTICE_1	Clica em "Lançar" para determinar o primeiro a jogar.
MINI_GAME_NOTICE_2	Lança os Paus de Yut.
MINI_GAME_NOTICE_3	O computador está a atirar Paus de Yut para determinar o primeiro a jogar.
MINI_GAME_NOTICE_4	Houve um empate ou o computador teve o lançamento com a pontuação mais baixa. O computador irá começar.
MINI_GAME_NOTICE_5	Tiveste a pontuação mais baixa e irás começar.
MINI_GAME_NOTICE_6	O teu lançamento: %s. Move-te %d espaço(s) para a frente.
MINI_GAME_NOTICE_7	O teu lançamento: %s. Tens de te mover 1 espaço para trás.
MINI_GAME_NOTICE_8	Lançamento: %s
MINI_GAME_NOTICE_9	É o turno do computador.
MINI_GAME_NOTICE_10	Ha! Derrotaste o computador!
MINI_GAME_NOTICE_11	Que azar! O computador derrotou-te.
MINI_GAME_NOTICE_12	Conseguiste um Yut ou Mo e podes lançar novamente.
MINI_GAME_NOTICE_13	O jogo terminou. Recolhe a tua recompensa.
MINI_GAME_RUMI_DISCARD_QUESTION	Queres mesmo descartar esta carta?
MINI_GAME_RUMI_EXIT_QUESTION	Queres terminar o jogo e obter a tua recompensa?\nA tua pontuação e cartas restantes serão reiniciadas!
MINI_GAME_RUMI_START_QUESTION	Tens de pagar uma taxa de %d Yang para poderes jogar. Também precisas de %d Conjunto(s) de Cartas.\nQueres começar o jogo?
MINI_GAME_YUTNORI_COM_WIN	Às vezes ganhas, outras vezes perdes.
MINI_GAME_YUTNORI_PC_WIN	O vencedor leva os espólios!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Pontuação: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Lançar
MINI_GAME_YUTNORI_RETHROW_POPUP	Sortudo! É o teu turno novamente.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Precisas de %d Yang e %d Tabuleiro(s) de Yut Nori para começares um jogo de Yut Nori. \n Queres jogar agora?
MINUTE	min
MISTS_ISLAND_BUFF_MSG_01	Energia +2
MISTS_ISLAND_BUFF_MSG_02	Rácio de queda de itens +10%
MISTS_ISLAND_BUFF_MSG_03	Força, Inteligência, Vitalidade, Destreza +3
MISTS_ISLAND_BUFF_MSG_04	Rácio de queda de Yang +10%
MISTS_ISLAND_BUFF_MSG_05	Bónus de Disfarces +3%
MISTS_ISLAND_INFO_01	O teu nível é demasiado baixo.
MISTS_ISLAND_INFO_02	Yang insuficiente.
MISTS_ISLAND_INFO_03	Neste momento não há qualquer batalha a decorrer.
MISTS_ISLAND_MSG_01	%s foi destruído por %s!
MISTS_ISLAND_MSG_02	%s capturou %s!
MISTS_ISLAND_MSG_03	%s ocupou %s!
MISTS_ISLAND_MSG_04	%s está a atacar %s!
MISTS_ISLAND_MSG_05	%s melhorou %s para o nível %d com sucesso!
MISTS_ISLAND_MSG_06	%s apareceu no campo de batalha!
MISTS_ISLAND_QUESTION_01	Queres sair da Batalha dos Cinco Santuários?
MISTS_ISLAND_QUESTION_02	Queres teleportar-te para o santuário atacado recentemente? \n Custa: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Reino ocupante: %s
MISTS_ISLAND_TOOLTIP_03	Nível de melhoramento: +%d
MISTS_ISLAND_TOOLTIP_04	Reforço de ocupação: %s
MISTS_ISLAND_TOOLTIP_05	Conquistar os Santuários
MISTS_ISLAND_TOOLTIP_06	1. Para capturares um santuário, primeiro ele tem de ser destruído.
MISTS_ISLAND_TOOLTIP_07	2. O Reino com mais combatentes nas proximidades ao fim de 1 minuto capturará o santuário.
MISTS_ISLAND_TOOLTIP_08	3. Após 3 minutos, o santuário reaparecerá com a cor do Reino que o capturou.
MISTS_ISLAND_TOOLTIP_09	4. Quanto mais tempo um santuário estiver sob o controlo do mesmo Reino, mais difícil será destruí-lo.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Dez Mil
MONETARY_UNIT2	Cem Mil Milhões
MONEY_INPUT_DIALOG_SELLPRICE	Preço de Venda:
MOONLIGHT_VALLEY_BOSS_SUMMON_SOON	Nykos irá aparecer em breve.
MOONLIGHT_VALLEY_REGISTER_SUMMON_SOUL_ALREADY	Este item já está selecionado.
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Não podes fazer isso enquanto montas.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Podes aumentar o nível do teu cavalo quando atingires o Nível de Campeão.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Irás precisar de %d Forragem e %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Queres tentar aumentar o nível do teu cavalo para %d?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Para aumentares o nível do teu cavalo, precisarás de %d Forragem, %d Gaya e %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Não tens Gaya suficiente.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	O aumento do nível do cavalo falhou.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	O nível do cavalo foi aumentado para %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Não tens Yang ou Forragem suficientes.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Próximo nível: %d (máx. %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Cancelar
MOVE_CHANNEL_NOTICE	Estás ligado ao canal %d.
MOVE_CHANNEL_NOT_MOVE	Não podes mudar o teu canal.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Canais
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Não podes mover um Item quando tens uma Loja Privada aberta.
MUSIC_EMPTY_MUSIC_LIST	Sem música de fundo.
MUSIC_METIN2_DEFAULT_THEMA	Música Standard Metin2
MUSIC_NOT_SELECT_MUSIC	Sem pasta de música escolhida.
NEEFD_REST	Primeiro tens de descansar.
NEW_WORLD_4TH_CANT_USE_EQUIP_ITEM	Não podes adicionar espaços enquanto o item está equipado.
NEW_WORLD_4TH_CANT_USE_ITEM_TYPE	Não podes adicionar espaços a este item.
NEW_WORLD_4TH_NO_MORE_ADD_FOOTS_SPACE	Não podes adicionar mais espaços.
NOT_YET_SUPPORT	Ainda não é suportado
NPC_LOCATION_HELPER_ATLAS_DONT_SHOW_MAP	Este mapa não está disponível.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_1	Não consegues ver o mapa completo.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_2	Conclui %s primeiro.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CAN_ONLY_WARP_FROM_SAME_MAP	Só te podes teleportar para um NPC se estiveres no mesmo mapa.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CONQUEROR_LEVEL_LIMIT	O mapa escolhido não está disponível para o teu nível atual.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME	Podes teleportar-te novamente dentro de %d minutos.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME_LESS_THAN_1M	Podes teleportar-te novamente dentro de 1 minuto.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DEAD	Não podes teleportar-te se tiveres morrido.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DIFFERENT_EMPIRE	Não podes teleportar-te para um NPC que pertence a outro reino.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOLD	Não tens %s suficiente.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOTO_OR_WARP	Não podes teleportar-te para este NPC.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_INSTANCE_DUNGEON	Não podes teleportar-te para uma instância.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_ITEM	Não tens %s suficiente.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_LEVEL_LIMIT	O mapa escolhido não está disponível para o teu nível atual.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_MOUNT	Não podes teleportar-te quando estás em cima de uma montada.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_NEW_WORLD	Precisas de ter alcançado o nível 1 de campeão para poderes teleportar-te.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_PLAYER_IN_INSTANCE_DUNGEON	Não te podes teleportar na localização atual.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_STONE_OF_WARP	Não tens Pedras do Teleporte suficientes.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_WINDOW_OPENED	Não te podes teleportar enquanto tens outros menus abertos.
NPC_LOCATION_HELPER_MAP_LOCKED	Indisponível
NPC_LOCATION_HELPER_MESSAGE_ALREADY_OPENED_MAP	Já tens este mapa.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_DISABLED	Tens de ativar o Encontra NPC.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_HERE	Não é possível usar o Encontra NPC aqui.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_TO_SMALL_ATLAS	Não é possível ativar ou desativar o mapa nesta área.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_MAP_DISABLED	Tens de ativar o Encontra NPC.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_STONE_OF_WARP_DISABLED	Tens de ativar o Encontra NPC.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_WARP_TO_NPC_NOW	Não te podes teleportar agora.
NPC_LOCATION_HELPER_MESSAGE_GUILD_LAND_UPDATE_COOLTIME	Tenta novamente.
NPC_LOCATION_HELPER_MESSAGE_MAP_NOT_PROVIDED	Não há mapa disponível aqui.
NPC_LOCATION_HELPER_MESSAGE_MAP_UNLOCKED	Completaste %s. Podes usar todas as funcionalidades de %s.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_ALREADY_SEARCHED	A área do monstro já está a ser exibida.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_CANNOT_SHOW_OTHER_MAP	Não podes exibir a localização exata de monstros que só aparecem noutro mapa.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	A localização do monstro escolhido é desconhecida.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	(Indisponível) Não tens o item necessário para ver onde este monstro aparece.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	(Indisponível) Seleciona um monstro para descobrires onde este aparece.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	A região onde %s aparece está destacada no mapa.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	Não tens Pedras do Teleporte suficientes.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	O NPC escolhido está por perto.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	Seleciona a região.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	Já não podes usar isso.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	Alquimia de Pedra do Dragão
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	Combinação
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	Criação
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	Entradas de masmorras
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Comerciantes
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Evento
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Itens de pesca
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Consumíveis
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Território de Guild
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Professores
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Correio
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Garimpar
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Montadas
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Outros NPC
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portais
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Melhoramento
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Teleportadores
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Guardas do Armazém
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Queres ativar o Encontra NPC?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	ou
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Queres usar %d Pedras do Teleporte/Pedras do Teleporte+ para te teleportares para %s?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Necessário para o teleporte:
OKEY_EVENT_MESSAGE_CARD_GAIN	Recebeste Conjunto(s) de Cartas Okey.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Recebeste Cartas Okey.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Não podes jogar Okey enquanto tens outra janela aberta.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	Para poderes participar, precisas de ter alcançado o nível 70.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Não tens itens ou dinheiro suficiente para jogar.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Não podes receber mais Conjuntos de Cartas Okey.
OPEN_THE_SPECIAL_ACTION_KIT	%s adicionada às emoções.
OPTION_ESCAPE_BUTTON_COOLTIME	Tenta novamente mais tarde.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Não te podes libertar neste momento. Tenta novamente mais tarde.
OPTION_ESCAPE_FAR_DISTANCE	Não te podes libertar porque te moveste mais de 10 metros.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Não te libertaste.
OPTION_ESCAPE_QUESTION_MESSAGE	Iremos transportar-te para uma localização vazia ou para a vila.\n Queres libertar a tua personagem?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Usa esta opção se a tua personagem estiver presa.
OPTION_ESCAPE_WAIT_MESSAGE	A tua personagem será libertada dentro de %d segundos.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Não podes activar o Modo Guild quando não pertences a uma Guild.
OPTION_PVPMODE_NOT_SUPPORT	Não podes escolher esta configuração em Modo PvP.
OPTION_PVPMODE_PROTECT	Tens de ter pelo menos nível %d para poderes alterar o Modo PvP.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Queres abandonar o combate?
OTHER_WORLD_EXCHANGE_COOLTIME	Tenta novamente mais tarde.
OTHER_WORLD_EXCHANGE_FAIL	Infelizmente, não recebeste nada da troca.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Não podes usar mais do que a quantidade máxima de itens.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Troca de Chamas da Morte
OTHER_WORLD_GET_DEAD_SOUL	Recebeste %dx Alma Morta.
OTHER_WORLD_GET_HELL_GATE_KEY	Recebeste %dx Chave de Asmodeus.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Recebeste %dx Carta Negra.
OTHER_WORLD_GET_REINCARNATION_WATER	Recebeste %dx Água da Vida.
OTHER_WORLD_GET_WISP	Recebeste %dx Chama da Morte.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Escolhe o Emissário da Terra que pretendes enfrentar.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Sempre que uma personagem morrer, o tempo da masmorra é reduzido em 1 minuto.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Água da Vida não disponível.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Mata todos os monstros dentro do tempo limite.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Derrota o Emissário da Noite sem morreres.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Derrota Asmodeus antes do fim do tempo.
PAID_CHARACTER_COUNT_TOOLTIP	Personagens premium: %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	Não podes criar mais personagens.
PAID_CHARACTER_CREATE_MODE	(Personagem premium)
PAID_CHARACTER_CREATE_QUESTION	Queres criar uma personagem premium?
PAID_CHARACTER_CREATE_TOOLTIP	Criar personagem premium
PAID_CHARACTER_DELETE_CONFIRM_1	Se apagares esta personagem, tens de comprar outro Bilhete de Personagem Premium para poderes criar uma nova personagem premium.
PAID_CHARACTER_DELETE_CONFIRM_2	Tens a certeza de que queres apagar a personagem?
PAID_CHARACTER_DELETE_RETRY	Esta não é a personagem escolhida.\nTenta novamente.
PAID_CHARACTER_FULL_CAPACITY	Não podes criar mais personagens premium.
PAID_CHARACTER_NEED_TICKET	Precisas de ter um Bilhete de Personagem Premium para poderes criar uma personagem premium.
PAID_CHARACTER_SELECT_TOOLTIP	Personagem premium
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	Bilhetes de Personagem: %d
PAID_CHARACTER_TICKET_LOADING	A carregar...
PARTY_ANSWER_TIMEOVER	O convite foi rejeitado.
PARTY_BONUS_ATTACKER	Valor de Ataque: +%d	SA
PARTY_BONUS_BERSERKER	Rapidez de Ataque: +%d	SA
PARTY_BONUS_BUFFER	Duração da Habilidade: +%d	SA
PARTY_BONUS_DEFENDER	Defesa +%d%%	SA
PARTY_BONUS_EXP	EXP Bónus: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Regeneração de VD por morte +%d%%	SA
PARTY_BONUS_TANKER	Máx. VD: +%d	SA
PARTY_BREAK_UP	Apagar Grupo
PARTY_DO_YOU_ACCEPT	 gostaria de se juntar ao Grupo.
PARTY_DO_YOU_JOIN	 convidou-te para te juntares a um grupo. Aceitas?
PARTY_EXP_DISTRIBUTION_MODE	Distribuição de EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Distribuição de Níveis
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Os Níveis mais altos do grupo recebem mais EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Distribuição Uniforme
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Todos os membros do Grupo recebem a mesma EXP.
PARTY_HEAL_ALL_MEMBER	Restaurar tudo.
PARTY_INCREASE_AREA_150	O alcance do grupo atingiu o factor 1,5.	SNA
PARTY_INCREASE_AREA_200	O alcance do grupo atingiu o factor 2.	SNA
PARTY_LEAVE	Abandonar o Grupo
PARTY_LONGTIME_BONUS_EXP	EXP Bónus por longo jogo em Grupo: +%d%%	SA
PARTY_MATCH_CANCEL	A procura de grupo para %s foi cancelada.
PARTY_MATCH_FAIL_FULL_MEMBER	O teu grupo não pode aceitar mais membros.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Não te podes registar nesta masmorra.
PARTY_MATCH_FAIL_LEVEL	O teu nível é demasiado baixo.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	O membro %s não cumpre os requisitos necessários.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Por favor selecciona uma masmorra primeiro.
PARTY_MATCH_FAIL_NOT_LEADER	Apenas o líder do grupo se pode registar.
PARTY_MATCH_FAIL_NO_ITEM	Não tens %s suficientes.
PARTY_MATCH_SEARCHING	Procurar
PARTY_MATCH_START	Registaste o teu grupo na seguinte masmorra: %s!
PARTY_MEMBER_OFFLINE	[Desligado]
PARTY_RECALL_MEMBER	Chamar membro do Grupo.
PARTY_REGEN_BONUS	Bónus de VD + regeneração MN: +%d%%	SA
PARTY_REQUEST_DENIED	O teu pedido foi recusado.
PARTY_RK_CATEGORY_CZ_CHICKEN	Classificações do Guardião You
PARTY_RK_CATEGORY_CZ_COW	Classificações do Guardião Chou
PARTY_RK_CATEGORY_CZ_DOG	Classificações do Guardião Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Classificações do Guardião Chen
PARTY_RK_CATEGORY_CZ_HORSE	Classificações do Guardião Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Classificações do Guardião Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Classificações do Guardião Zi
PARTY_RK_CATEGORY_CZ_PIG	Classificações do Guardião Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Classificações do Guardião Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Classificações do Guardião Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Classificações do Guardião Si
PARTY_RK_CATEGORY_CZ_TIGER	Classificações do Guardião Yin
PARTY_SET_ATTACKER	Constituir como Atacante.
PARTY_SET_BERSERKER	Constituir como Agressivo.
PARTY_SET_BUFFER	Constituir como Bloqueador.
PARTY_SET_DEFENDER	Constituir como Defensor.
PARTY_SET_NORMAL	Retirar definições.
PARTY_SET_SKILL_MASTER	Constituir como Mestre de Habilidades.
PARTY_SET_TANKER	Constituir como Lutador de Curta Distância.
PARTY_SKILL_ATTACKER	Valor Base de Ataque +%.0f
PARTY_SKILL_BERSERKER	Rapidez de Ataque +%.0f
PARTY_SKILL_BUFFER	Duração da Habilidade +%.0f
PARTY_SKILL_DEFENDER	Defesa como Defensor +%.0f%%
PARTY_SKILL_HP_REGEN	Regeneração de VD +%.0f%%
PARTY_SKILL_PARTY_AREA	Alcance do Grupo +%d%%
PARTY_SKILL_SKILL_MASTER	Regeneração de VD como Habilidade a Mestre +%.0f%%
PARTY_SKILL_SP_REGEN	Regeneração de MN +%.0f%%
PARTY_SKILL_TANKER	Bónus VD +%.0f
PARTY_SKILL_WARP	É possível chamar membros do Grupo.
PASSIVE_ATTR_ADD_FAIL	Falhou! Os bónus não foram transferidos para a Relíquia da Alma.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	A Relíquia da Alma não pode receber mais bónus.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Precisas de uma Relíquia da Alma para a tua classe para fazeres isso.
PASSIVE_ATTR_ADD_SUCCESS	Sucesso! Os bónus foram transferidos para a Relíquia da Alma.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	A Relíquia da Alma já está carregada.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Nenhuma Relíquia da Alma precisa de ser carregada.
PASSIVE_ATTR_CHARGE_QUESTION	Queres carregar a Relíquia da Alma?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	O tempo da Relíquia foi totalmente carregado.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Não podes fazer isso durante a ativação.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Tenta novamente mais tarde.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Precisas de uma Alma correspondente para isso.
PASSIVE_ATTR_TOOLTIP_LINE1	1. Podes usar quatro almas para adicionar ou prolongar os atributos de Relíquias da Alma específicas de classe.
PASSIVE_ATTR_TOOLTIP_LINE2	2. Não é possível alterar os atributos adicionados; uma vez ativados, proporcionam-te bónus e a sua duração é reduzida.
PASSIVE_ATTR_TOOLTIP_LINE3	3. Mesmo após a duração terminar, a Relíquia não desaparece e pode ser reativada após um recarregamento do tempo.
PASSIVE_ATTR_TOOLTIP_LINE4	4. Podes obter as Relíquias em missões repetíveis. Podes aceitá-las após concluíres a missão do homem ferido na Planície de Dong Gwang.
PASSIVE_ATTR_TOOLTIP_LINE5	(As missões ficam disponíveis após alcançares o nível 120 e concluíres a missão Ritual da Rutura.)
PASSIVE_ATTR_TOOLTIP_LINE6	5. Também podes adquirir almas na Loja.
PASSIVE_ATTR_TOOLTIP_TITLE	Bónus de Relíquias
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Precisas de uma Relíquia da Alma para a tua classe para fazeres isso.
PASSIVE_JOB_DESTROY_POPUP	Se descartares a Relíquia da Alma, a mesma será destruída. Tens a certeza?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Deixarás de poder transferir a Relíquia após a ativação.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Os itens serão perdidos. Tens a certeza?
PASSIVE_JOB_LEFT_TIME	Tempo restante: %s
PASSIVE_JOB_MAX_TIME	Tempo máximo da Relíquia: %s
PASSWORD_TITLE	Palavra-passe do Armazém
PET_ABILITIES_VALUE	+%s%%
PET_ATTR_CHANGE_DIALOG_TEXT	Gostarias de mudar os atributos do teu pet agora?\nO item "Feitiço para Pets" será usado neste processo.\nO processo pode falhar.
PET_ATTR_CHANGE_USE	Esta acção não pode ser levada a cabo enquanto atributos de pet estão a ser modificados.
