ACCE_ABSORB_COST	Kombinálás ára: %d
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Kereskedõk
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Rendezvény
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Horgász felszerelés
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Fogyótárgyak
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Céhterület
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Oktatók
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Posta
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Bányászat
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Hátasok
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Egyéb NPC-k
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portálok
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Fejlesztés
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Teleportok
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Raktárosok
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Szeretnéd aktiválni az NPC keresõt?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	vagy
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Szeretnél %d Teleport kõ/Teleport kõ+ felhasználásával ide teleportálni: %s?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	A teleporthoz szükséges:
OKEY_EVENT_MESSAGE_CARD_GAIN	Okey kártyaszett(ek)et kaptál.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Okey kártyákat kaptál.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Nem játszhatsz Okeyt, amíg egy másik ablakod nyitva van.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	A részvételhez el kell érned a 70-es szintet.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Nincs elég tárgyad vagy pénzed a játékhoz.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Nem kaphatsz több Okey kártyaszettet.
OPEN_THE_SPECIAL_ACTION_KIT	A(z) %s hozzá lett adva az érzelmekhez.
OPTION_ESCAPE_BUTTON_COOLTIME	Kérjük, próbáld újra késõbb.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Jelenleg nem tudod kiszabadítani magad. Kérjük, próbáld újra késõbb.
OPTION_ESCAPE_FAR_DISTANCE	Nem tudod kiszabadítani magad, mivel több, mint 10 métert mozogtál.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Nem szabadítottad ki magad.
OPTION_ESCAPE_QUESTION_MESSAGE	Egy üres helyre vagy a faluba fogsz teleportálódni.\n Szeretnéd kiszabadítani a karakteredet?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Használd ezt, ha beragadtál.
OPTION_ESCAPE_WAIT_MESSAGE	%d másodperc múlva kiszabadulsz.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nem aktiválhatod a céh módot, ha nem vagy céhtag.
OPTION_PVPMODE_NOT_SUPPORT	Nem használhatod a PvP-mód beállításait.
OPTION_PVPMODE_PROTECT	Legalább %d szintûnek kell lenned, hogy PvP módot változtathass.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Szeretnél kilépni a harcból?
OTHER_WORLD_EXCHANGE_COOLTIME	Kérjük, próbáld újra késõbb.
OTHER_WORLD_EXCHANGE_FAIL	Sajnos nem kaptál semmit a beváltáskor.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Nem tudsz többet használni, mint a tárgyak maximális mennyisége.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Halálláng beváltása
OTHER_WORLD_GET_DEAD_SOUL	Kaptál %dx Halott lelket.
OTHER_WORLD_GET_HELL_GATE_KEY	Kaptál %dx Asmodeus kulcsot.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Kaptál %dx Fekete levelet.
OTHER_WORLD_GET_REINCARNATION_WATER	Kaptál %dx Életvizet.
OTHER_WORLD_GET_WISP	Kaptál %dx Halállángot.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Válaszd ki azt a Föld követét, akivel szeretnél megküzdeni.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	A kazamata ideje 1 perccel csökken minden alkalommal, amikor egy karakter meghal.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Az Életvíz nem elérhetõ.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Öld meg az összes szörnyet a megadott idõ alatt.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Gyõzd le az Éj követét anélkül, hogy meghalnál.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Gyõzd le Asmodeust, mielõtt lejár az idõ.
PAID_CHARACTER_COUNT_TOOLTIP	Prémium karakterek: %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	Nem hozhatsz létre több karaktert.
PAID_CHARACTER_CREATE_MODE	(Prémium karakter)
PAID_CHARACTER_CREATE_QUESTION	Szeretnél létrehozni egy prémium karaktert?
PAID_CHARACTER_CREATE_TOOLTIP	Prémium karakter létrehozása
PAID_CHARACTER_DELETE_CONFIRM_1	Ha törlöd ezt a karaktert, egy további Prémium karakter jegyet kell vásárolnod, mielõtt új prémium karaktert tudnál létrehozni.
PAID_CHARACTER_DELETE_CONFIRM_2	Biztosan szeretnéd törölni a karaktert?
PAID_CHARACTER_DELETE_RETRY	Ez nem a kiválasztott karakter.\nKérjük, próbáld újra.
PAID_CHARACTER_FULL_CAPACITY	Nem hozhatsz létre több prémium karaktert.
PAID_CHARACTER_NEED_TICKET	Szükséged van egy Prémium karakter jegyre egy prémium karakter létrehozásához.
PAID_CHARACTER_SELECT_TOOLTIP	Prémium karakter
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	Karakter jegyek: %d
PAID_CHARACTER_TICKET_LOADING	Betöltés...
PARTY_ANSWER_TIMEOVER	A meghívás el lett utasítva.
PARTY_BONUS_ATTACKER	Támadó érték: +%d	SA
PARTY_BONUS_BERSERKER	Támadósebesség: +%d	SA
PARTY_BONUS_BUFFER	Készség tartam: +%d	SA
PARTY_BONUS_DEFENDER	Védelem +%d%%	SA
PARTY_BONUS_EXP	Bónusz EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	TP helyreállítás ölésenként +%d%%	SA
PARTY_BONUS_TANKER	Max. TP: +%d	SA
PARTY_BREAK_UP	Csoport felbontás
PARTY_DO_YOU_ACCEPT	 szeretne csatlakozni a csoportba.
PARTY_DO_YOU_JOIN	 meghívott téged, hogy csatlakozz egy csoporthoz. Elfogadod?
PARTY_EXP_DISTRIBUTION_MODE	EXP elosztás
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Szint függõ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	A magasabb szintû csoporttagok több EXP-et kapnak.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	egyenletes
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Minden csoporttag azonos mennyiségû EXP-t kap.
PARTY_HEAL_ALL_MEMBER	Mindent újratermelni
PARTY_INCREASE_AREA_150	A csoport hatótávolsága másfélszeresére növelve.	SNA
PARTY_INCREASE_AREA_200	A csoport hatótávolsága kétszeresére növelve.	SNA
PARTY_LEAVE	Csoport elhagyása
PARTY_LONGTIME_BONUS_EXP	Bónusz EXP a hosszú csoport játékért: +%d%%	SA
PARTY_MATCH_CANCEL	A %s csoport keresés meg lett szakítva.
PARTY_MATCH_FAIL_FULL_MEMBER	Nincs több tagnak hely a csoportodban.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Nem jelentkezhetsz erre a kazamatára.
PARTY_MATCH_FAIL_LEVEL	A szinted túl alacsony.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	%s nem felel meg a szükséges követelményeknek.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Kérlek, elõbb válassz kazamatát.
PARTY_MATCH_FAIL_NOT_LEADER	Csak a csoport vezetõje jelentkezhet.
PARTY_MATCH_FAIL_NO_ITEM	Nincs nálad elegendõ %s.
PARTY_MATCH_SEARCHING	Keresés
PARTY_MATCH_START	Jelentkeztél a csoportoddal erre a kazamatára: %s!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Csoporttag hívása
PARTY_REGEN_BONUS	Bónusz a TP- és MP-regenerálódáshoz: +%d%%	SA
PARTY_REQUEST_DENIED	Elutasították a kérésed.
PARTY_RK_CATEGORY_CZ_CHICKEN	You Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_COW	Chou Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_DOG	Xu Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_DRAGON	Chen Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_HORSE	Wu Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_MONKEY	Shen Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_MOUSE	Zi Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_PIG	Hai Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_RABBIT	Mao Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_SHEEP	Wei Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_SNAKE	Si Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_TIGER	Yin Õrzõ ranglista
PARTY_SET_ATTACKER	Támadónak kinevez.
PARTY_SET_BERSERKER	Dühöngõnek kinevez.
PARTY_SET_BUFFER	Blokkolónak kinevez.
PARTY_SET_DEFENDER	Védõnek kinevez.
PARTY_SET_NORMAL	Beállítások visszaállítása
PARTY_SET_SKILL_MASTER	Készség mesternek kinevez.
PARTY_SET_TANKER	Tõrharcos beállítás.
PARTY_SKILL_ATTACKER	Alap támadóérték támadó +%.0f
PARTY_SKILL_BERSERKER	Támadó érték õrjöngõ +%.0f
PARTY_SKILL_BUFFER	Készség hossz Blokkoló +%.0f
PARTY_SKILL_DEFENDER	Védelem védõként +%.0f%%
PARTY_SKILL_HP_REGEN	TP regeneráció +%.0f%%
PARTY_SKILL_PARTY_AREA	Csoport hatósugár +%d%%
PARTY_SKILL_SKILL_MASTER	TP regeneráció készség mesterként +%.0f%%
PARTY_SKILL_SP_REGEN	MP regenerálódás +%.0f%%
PARTY_SKILL_TANKER	Max. TP közelharc +%.0f
PARTY_SKILL_WARP	Csoporttárs hívása lehetséges.
PASSIVE_ATTR_ADD_FAIL	Nem sikerült! A bónuszok nem kerültek át a Lélekereklyébe.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	A Lélekereklyéhez nem adható több bónusz.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Ehhez szükséged van a karakterosztályodnak megfelelõ Lélekereklyére.
PASSIVE_ATTR_ADD_SUCCESS	Siker! A bónuszok átkerültek a Lélekereklyébe.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	A Lélekereklye már fel van töltve.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Egyetlen Lélekereklyét sem kell feltölteni.
PASSIVE_ATTR_CHARGE_QUESTION	Szeretnéd feltölteni a Lélekereklyét?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Az ereklye ideje teljesen feltöltésre került.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Ezt nem tudod megtenni aktiválás közben.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Kérjük, próbáld újra késõbb.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Szükséged van ehhez egy megfelelõ lélekre.
PASSIVE_ATTR_TOOLTIP_LINE1	1. Felhasználható négy lélek a karakterosztályhoz kötõdõ lélekereklyéhez való tulajdonságok hozzáadásához vagy növeléséhez.
PASSIVE_ATTR_TOOLTIP_LINE2	2. A tulajdonságok nem változtathatók meg; ha egyszer aktívak, akkor bónuszokat nyújtanak és csökken az idõtartamuk.
PASSIVE_ATTR_TOOLTIP_LINE3	3. Az idõtartam lejárta után az ereklye nem tûnik el, és újra aktiválható, ha az ideje fel lett töltve.
PASSIVE_ATTR_TOOLTIP_LINE4	4. Ereklyék az ismételhetõ küldetésekbõl szerezhetõk. Felveheted õket azután, hogy teljesítetted a Sebesült férfi küldetést a Dong Gwang síkságon.
PASSIVE_ATTR_TOOLTIP_LINE5	(A küldetések elérhetõk azután, hogy elérted a 120. szintet és teljesítetted a Megzavaró rituálé küldetést.)
PASSIVE_ATTR_TOOLTIP_LINE6	5. A lelkek megszerezhetõk a Tárgypiacról is.
PASSIVE_ATTR_TOOLTIP_TITLE	Ereklyebónuszok
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Ehhez szükséged van a karakterosztályodnak megfelelõ Lélekereklyére.
PASSIVE_JOB_DESTROY_POPUP	Ha eldobod a Lélekereklyét, megsemmisül. Biztos vagy benne?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Aktiválás után nem fogod tudni többé átadni az ereklyét.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	A tárgyak el fognak veszni. Biztos vagy benne?
PASSIVE_JOB_LEFT_TIME	Hátralévõ idõ: %s
PASSIVE_JOB_MAX_TIME	Ereklye maximális ideje: %s
PASSWORD_TITLE	Raktár jelszó
PET_ABILITIES_VALUE	+%s%%
PET_ATTR_CHANGE_DIALOG_TEXT	Szeretnéd most módosítani a házikedvenced tulajdonságait?\nA 'Kedvenc megbûvölõ' tárgy felhasználásra kerül.\nA folyamat lehet sikertelen is.
PET_ATTR_CHANGE_USE	Ez a mûvelet nem végezhetõ el, miközben a kedvenced pontértékeit módosítod.
PET_ATTR_DETERMINE_TYPE1	1. típus: ügyetlen. Nem különösen erõs.\nIdõvel fejlesztheted a készségeit.
PET_ATTR_DETERMINE_TYPE2	2. típus: kíváncsi. Nem különösen erõs.\nEgy hûséges társ, akinek idõvel fejlõdnek a képességei.
PET_ATTR_DETERMINE_TYPE3	3. típus: lelkes. Átlagosan erõs.\nIdõvel fejlesztheted készségeit.
PET_ATTR_DETERMINE_TYPE4	4. típus: bátor. Átlagosan erõs.\nEgy hûséges társ, akinek idõvel fejlõdnek a képességei.
PET_ATTR_DETERMINE_TYPE5	5. típus: vakmerõ. Erõs.\nIdõvel még tovább fejlesztheted készségeit.
PET_ATTR_DETERMINE_TYPE6	6. típus: legendás. Erõs.\nEgy hûséges társ, akinek készségei még tovább fognak fejlõdni idõvel.
PET_ATTR_DETERMINE_TYPE7	7. típus: mitikus Nagyon erõs.\nIdõvel eléri teljes potenciálját.
PET_ATTR_DETERMINE_TYPE8	8. típus: briliáns Extrém erõs.\nEgy hûséges társ, akire mindig támaszkodhatsz.
PET_BAG_DESC	%s
PET_CANNOT_EAT_BATTLE_EXP_FOOD	Elõbb meg kell idézned kedvencedet.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_1	A karakterednek el kell érnie az 1. bajnokszintet a fejlõdés ezen szakaszához.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_2	A karakterednek el kell érnie a 15. bajnokszintet a fejlõdés ezen szakaszához.
PET_CANNOT_FEED_BATTLE_EXP_FOOD	%s nem tud több EXP-t szerezni.
PET_CANNOT_FEED_CUBEOPEN	Nem etetheted a kedvenced, amíg a fejlesztési ablak nyitva van.
PET_CANNOT_OPEN_POTENTIAL_SKILL_WINDOW	Ez csak a bajnokszintet elért kedvencek részére elérhetõ.
PET_CANNOT_REGISTER_POTENTIAL_SLOT_FROM_ITEM	Erre a helyre csak házikedvenc tojásokat tehetsz.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Nem módosíthatod egy halott kis kedvenc pontértékeit.
PET_CAN_NOT_EGG_ITEM_USE	Nem nyithatod ki Inkubátorod képzés idején, sem amíg raktárad vagy magánboltod nyitva van.
PET_CAN_NOT_FEED_SPLIT_ITEM	Nem helyezhetsz felosztott tárgyakat ebbe az ablakba.
PET_CAN_NOT_FEED_TYPE	Nem etetheted ezzel a kedvenced. Próbálj valami mást.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Házikedvencednek %d szintûnek kell lennie képzéséhez és a fejlõdésének következõ szintjére lépéséhez.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Házikedvencednek 100% tapasztalatának kell lennie képzéséhez és a fejlõdésének következõ szintjére lépéséhez.
PET_CAN_NOT_OPEN_EVOL_BUTTON_FROM_CONQUEROR_LEVEL	A kedvencednek el kell érnie a(z) %d. bajnokszintet, hogy fejlõdhessen.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Házikedvenced már elérte a legmagasabb fejlõdési szakaszt.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Nem nyithatsz saját boltot, amíg házikedvenced elõ van hívva.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Házikedvencednek %d nap idõsnek kell lennie képzéséhez és a fejlõdésének következõ szintjére lépéséhez.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Nem hívhatod elõ házikedvenced, mert lejárt az ideje.
PET_CAN_NOT_USE_BAG	Nem használhatod a Szállító dobozt, mert már lejárt a házikedvenced ideje.
PET_CAN_ONLY_REGISTER_PET_EGG_IN_SLOT	Erre a helyre csak házikedvenc tojásokat tehetsz.
PET_CAN_REGISTER_PET_EGG	Ha van szabad helyed, kiválaszthatod az egyik házikedvenc tojásod.
PET_CAN_SPECIAL_EVOL	A fejlõdésnek ebben a szakaszában Hõsies házikedvenc-könyvekre van szükséged.
PET_CONQUEROR_BILITIES_BLOCK_PENETRATE_PCT	Blokkolás áth. (teljes érték %-a)
PET_CONQUEROR_BILITIES_HIT_PCT	Pontosság (%)
PET_CONQUEROR_BILITIES_SUNGMA_MOVE	Sung Ma akarata (ELL) (%)
PET_EGG_REMOVE_ANSWER_1	Megerõsít
PET_EGG_REMOVE_ANSWER_2	Mégse
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_1	Szeretnéd eltávolítani ezt: %s?
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_2	Ha törlöd a tojást, nem kaphatod vissza.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Kedvencednek nincs készsége, amit vissza lehetne állítani.
PET_GRANT_POTENTIAL_SKILL_SUCCESS	A kedvenced feloldott egy potenciális készséget (%s).
PET_HATCHING_ACCEPT	Elõ akarod hívni "%s" házikedvenced?
PET_HATCHING_MONEY	Ár: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Nem végezhetsz semmilyen más interakciót, amíg az Inkubátor nyitva van.
PET_INFORMATION_STAGE1	Fiatal
PET_INFORMATION_STAGE2	Vad
PET_INFORMATION_STAGE3	Szelídített
PET_INFORMATION_STAGE4	Hõsies
PET_INFORMATION_STAGE5	Éber
PET_INFORMATION_STAGE6	Hatalmas
PET_INFO_CONQUEROR_ABILITIES_VALUE	+%0.1f%%
PET_INFO_CONQUEROR_BUTTON	Bajnok
PET_INFO_CONQUEROR_EXP	Jelenlegi bajnokszint EXP: %s
PET_INFO_EXP	Jelenlegi EXP: %s
PET_INFO_ITEM_EXP	Jelenlegi tárgy EXP: %s
PET_INFO_NEXT_CONQUEROR_EXP	Hátralevõ bajnokszint EXP: %s
PET_INFO_NEXT_EXP	Hátralevõ EXP: %s
PET_INFO_NEXT_ITEM_EXP	Hátralévõ tárgy EXP: %s
PET_INFO_NORMAL_BUTTON	Normál
PET_INFO_POTENTIAL_BUTTON	Potenciális
PET_INFO_POTENTIAL_LEFT_TIME	Hátralevõ idõ: %s
PET_INFO_POTENTIAL_SKILL	Potenciális készségek
PET_INFO_SKILL_BUTTON	Házikedvenc készségek
PET_MSG_NOT_ENOUGH_MONEY	Nincs elegendõ Yangod.
PET_NAME_CHANGE_ACCEPT	Meg akarod változtatni kedvenced nevét erre: %s?
PET_NAME_MIN	A megadott név túl rövid.
PET_NOTICE_POTENTIAL_SKILL_EFFECT	A(z) %s potenciális készség most már aktív.
PET_OPEN_POTENTIAL_SKILL_SLOT_1	Elsõ potenciális készség hely feloldva
PET_OPEN_POTENTIAL_SKILL_SLOT_2	Második potenciális készség hely feloldva
PET_REGISTER_ANSWER_1	Megerõsít
PET_REGISTER_ANSWER_2	Mégse
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_1	Szeretnéd kiválasztani ezt a házikedvenc tojást?
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_2	Ha kiválasztod a tojást, eltávolításra kerül a leltáradból.
PET_REMOVE_POTENTIAL_SKILL_SUCCESS	A(z) %s potenciális készség eltávolításra került.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Nincs felélesztendõ házikedvenc.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Nincs nálad elég anyag.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Elérhetõk készségek.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	A házikedvenc készség(ek) visszaállítása nem lehetséges.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Biztosan folytatod?
PET_SKILL_LEARN_FAIL_CONDITIONS	A kedvenced nem érte még el a szükséges szintet. Csak a hõsies házikedvencek tanulhatnak készségeket.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Hõsi képzést akarsz kezdeni vele: "%s"?
PET_SKILL_TOOLTIP_COOLTIME	Várakozási idõ: %s másodperc
PET_SKILL_TOOLTIP_DURATION	Idõtartam: %d másodperc
PET_SKILL_TOOLTIP_FEATHER	A házikedvenc %d%% eséllyel aktiválja a Pehelykönnyû lépéseket %.1f másodpercre.\n Támadás %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Amikor TP-d 20%% alá csökken, van \n %d%% esélyed TP-d növelésére ennyivel: %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Karakterednek %d%% esélye van legyõzhetetlenségre,\n Amikor TP-d 10%% alá csökken. \n Hatás idõtartama: %.1f másodperc.	SAA
PET_SKILL_TOOLTIP_REMOVAL	%d%% esély van azonnal eltávolítani \n minden hatást, mint lassítás, mérgezés vagy vérzés,\n amennyiben karaktered érintett.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Hõsi képzés növelése a következõ szintre?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Ára: %s
PET_TOOLTIP_CONQUEROR_BLOCK_PENETRATE_PCT	Blokkolás áthatolás (%%): a teljes érték +%0.1f%%-a
PET_TOOLTIP_CONQUEROR_HIT_PCT	Pontosság (%%): +%0.1f%%
PET_TOOLTIP_CONQUEROR_LEVEL_AND_LIFETIME	B szint %d (%s)
PET_TOOLTIP_CONQUEROR_SUNGMA_MOVE	Sung Ma akarata (ELL) (%%): +%0.1f%%
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Védekezés
PET_TOOLTIP_HP	TP
PET_TOOLTIP_LEVEL	Szint
PET_TOOLTIP_LIFETIME_OVER	Lejárt
PET_TOOLTIP_POTENTIAL_SKILL	Potenciális készség: %s (%d)
PET_TOOLTIP_POTENTIAL_SKILL_REMAINING_TIME	Hátralevõ idõ: %s
PET_TOOLTIP_SKILL_BONUS_VALUE	hõsi képzésen
PET_TOOLTIP_SKILL_CUR_LEVEL	Szint: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Következõ szint: %d (max. %d)
PET_TOOLTIP_SP	MP
PET_TOOLTIP_TRADABLE	Átadható
PET_TOOLTUP_SKILL	%s (Állapot: %d)
PICK_ITEM_TITLE	Tárgy szám
PICK_MONEY_TITLE	Összeg
POPUP_MESSAGE_CLIENT_VERSION_NOT_MATCH	Kijelentkeztetésre kerültél, mert a kliens verziód nem megfelelõ. Kérjük, frissítsd a verzióját, majd jelentkezz be újra.
POPUP_NOTICE_CHECKBOX_TEXT	Ne mutasd többé ma
PREMIUM_MEMBERSHIP_CANNOT_ADD_TIME_MESSAGE	Nem adhatsz hozzá több idõt.
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_WON	Az eladásra kínált tárgyak értéke nem haladhatja meg a megengedett összesített értéket.
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_YANG	Az eladásra kínált tárgyak értéke nem haladhatja meg a megengedett összesített értéket.
PREMIUM_PRIVATE_MODIFY_LIMIT_WON	Ez több, mint 3.000 Won. Kérjük, gyûjtsd be a pénzed most.
PREMIUM_PRIVATE_MODIFY_LIMIT_YANG	Ez több, mint 2 milliárd Yang. Kérjük, gyûjtsd be a pénzed most.
PREMIUM_PRIVATE_SHOP_CANNOT_OPEN_MAP	Ezt nem nyithatod meg ezen a térképen.
PREMIUM_PRIVATE_SHOP_CLOSE_QUESTIONG	Szeretnéd bezárni a magánboltod?
PREMIUM_PRIVATE_SHOP_DURATION	Idõtartam: %s
PREMIUM_PRIVATE_SHOP_MODIFY_STATE_OPEN_FAIL	A bolt jelenleg nincs nyitva, mert épp módosítás alatt áll.
PREMIUM_PRIVATE_SHOP_NO_BUFF	Ez a gomb a Prémium magánbolthoz van. A használatához elõbb meg kell vásárolnod a Tárgypiacon.
PREMIUM_PRIVATE_SHOP_PASSWORD_DESC1	Kérjük, írd be a jelszót
PREMIUM_PRIVATE_SHOP_PASSWORD_DESC2	a Prémium magánbolt megnyitásához.
PREMIUM_PRIVATE_SHOP_PASSWORD_TITLE	Jelszó
PREMIUM_PRIVATE_SHOP_POSITION	%s (%d,%d) - CH-%d
PREMIUM_PRIVATE_SHOP_REJECT_BUFF_MESSAGE	Nem adhatsz hozzá több idõt.
PREMIUM_PRIVATE_SHOP_USE_ITEM	Szeretnéd használni a Prémium magánbolt tárgyat?
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_WON	Nem tudod begyûjteni a pénzed, mert több, mint 3.000 Won lenne nálad.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_YANG	Nem tudod begyûjteni a pénzed, mert több, mint 2 milliárd Yang lenne nálad.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_NONE	Nincs begyûjthetõ pénz.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_WON	Több Wont fizettél, mint amennyit ki tudsz venni.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_YANG	Több Yangot fizettél, mint amennyit ki tudsz venni.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_WRONG_INPUT	Nem tudod begyûjteni a pénzed, mert túl nagy összeget írtál be.
PRIVATESHOPSEARCH_ABLITY_POTION	Harmat
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Finom kelme
PRIVATESHOPSEARCH_ARMOR	Felszerelés
PRIVATESHOPSEARCH_ARROW	Nyilak
PRIVATESHOPSEARCH_BELL	Harangok
PRIVATESHOPSEARCH_BELT	Övek
PRIVATESHOPSEARCH_BLEND	Bájitalok
PRIVATESHOPSEARCH_BLOOD_PEARL	Vérvörös gyöngy
