ACCEPT	OK
MERCENARY_MANAGE_IMMEDIATELY_CURE	Guarigione immediata
MERCENARY_MANAGE_INFO	Informazioni mercenario
MERCENARY_MANAGE_LEVEL	Livello mercenario
MERCENARY_MANAGE_LEVELUP	Incrementa livello mercenario
MERCENARY_MANAGE_NAME	Nome
MERCENARY_MANAGE_NEXT_EXP	EXP necessaria
MERCENARY_MANAGE_NEXT_LEVEL	Livello successivo
MERCENARY_MANAGE_REGIST_DRAIN	Addestramento
MERCENARY_MANAGE_SKILL	Abilità
MERCENARY_MANAGE_SPECIFICITY	Specializzazione
MERCENARY_MISSION_ACTIVE	Resistenza
MERCENARY_MISSION_ALL_CANCLE	Licenzia tutti
MERCENARY_MISSION_AUTO_JOIN	Scelta automat.
MERCENARY_MISSION_BONUS_REWARD	Hai ricevuto una ricompensa extra!
MERCENARY_MISSION_CURRENT_INFO	Situazione attuale missioni
MERCENARY_MISSION_DECREASE_RUNTIME	Riduci la durata della missione
MERCENARY_MISSION_DECREAS_INJURE	Riduci il rischio di ferimento
MERCENARY_MISSION_DISPATCH_BENEFITS	Vantaggio truppa
MERCENARY_MISSION_DISPATCH_MERCENARY	Invia mercenari
MERCENARY_MISSION_EXP_BONUS	Punti esperienza bonus ricevuti!
MERCENARY_MISSION_INFO	Informazione missione
MERCENARY_MISSION_JOIN	Partecipa
MERCENARY_MISSION_LIMIT_ACTIVE	Resistenza necessaria
MERCENARY_MISSION_LIMIT_LEVEL	Livello mercenario richiesto
MERCENARY_MISSION_MERCENARY_LIST	Mercenari assoldati
MERCENARY_MISSION_REGIST	Missioni
MERCENARY_MISSION_REWARD_LIST	Ricompense
MERCENARY_MISSION_SUCCESS_PCT	Probabilità di successo
MERCENARY_MISSION_SUGGESTION	Mercenario suggerito
MERCENARY_MISSION_TYPE	Tipo di missione
MERCENARY_TITLE	Sistema dei mercenari
MESSAGE	Questo è un messaggio
MESSENGER_ADD_FRIEND	Aggiungi amico
MESSENGER_BLOCK	Blocca
MESSENGER_BLOCK_FRIEND	Blocca
MESSENGER_DELETE_FRIEND	Cancella
MESSENGER_MOBILE	Invia SMS
MESSENGER_OPEN_GUILD	Apri la finestra della Gilda
MESSENGER_TITLE	Amici
MESSENGER_USE_GUILD_MOVE_SKILL	Utilizza l'abitlità di movimento della Gilda
MESSENGER_WHISPER	Chat privata
MINIGAME_FISH_EVENT_USE_COUNT	Quantità
MINIMIZE	Minimizza
MINI_BOSS_DUNGEON_DESC_BTN	Regole dell'evento
MINI_BOSS_DUNGEON_TITLE_NAME	Partecipanti
MINI_BOSS_DUNGEON_TITLE_NUM	Rango
MINI_BOSS_DUNGEON_TITLE_POINT	Punti apocalisse
MINI_BOSS_DUNGEON_TOOTIP_01	Panoramica Dungeon
MINI_BOSS_DUNGEON_TOOTIP_02	Apocalisse (livelli 40-80)
MINI_BOSS_DUNGEON_TOOTIP_03	Apocalisse (dal livello 81)
MINI_BOSS_DUNGEON_TOOTIP_04	Entra
MINI_BOSS_DUNGEON_TOOTIP_05	Tempo rimanente
MINI_BOSS_DUNGEON_TOOTIP_06	I miei punti apocalisse
MINI_BOSS_DUNGEON_TOOTIP_07	Apocalissi rimanenti
MINI_BOSS_DUNGEON_TOOTIP_08	La mia ricompensa
MINI_BOSS_TITLE	Apocalisse dello Zodiaco
MINI_GAME_BLACK_AND_WHITE_DONATE	Effettua donazione
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Contesa dei veggenti
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Classifica
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Premi
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Inizia
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Contesa dei veggenti
MINI_GAME_CATCHKING_CHALLENGE	Missione
MINI_GAME_CATCHKING_HELP_TEXT	Regolamento
MINI_GAME_CATCHKING_HIGH_SCORE	Classifica
MINI_GAME_CATCHKING_MYNUMBER	La mia carta
MINI_GAME_CATCHKING_POPUP_CONFIRM	Pop up on/off
MINI_GAME_CATCHKING_RETRY	Gioca di nuovo
MINI_GAME_CATCHKING_REWARD	La tua vincita:
MINI_GAME_CATCHKING_SCORE	Punti
MINI_GAME_CATCHKING_SELECTION_NUMBER	Carta scoperta
MINI_GAME_CATCHKING_START_TEXT	Inizia
MINI_GAME_CATCHKING_TITLE	Trova il re
MINI_GAME_FISH_HELP_TEXT	Aiuto
MINI_GAME_FISH_START_TEXT	Start
MINI_GAME_FISH_TITLE	Il Puzzle dei pesci
MINI_GAME_RUMI_DISCARD_TEXT	Modalità sicura
MINI_GAME_RUMI_EXIT	Termina
MINI_GAME_RUMI_LBUTTON_DESC	Inserisci la carta facendo clic con il tasto sinistro
MINI_GAME_RUMI_RBUTTON_DESC	Rimuovi la carta facendo clic con il tasto destro
MINI_GAME_RUMI_SCORE	Punti
MINI_GAME_RUMI_START_TEXT	Inizia
MINI_GAME_RUMI_TITLE	Gioco di carte Okey
MINI_GAME_YUTNORI_COM_TEXT	Computer
MINI_GAME_YUTNORI_PLAYER_TEXT	Giocatori
MINI_GAME_YUTNORI_PROBABILITY	Probabilità
MINI_GAME_YUTNORI_PROB_DESC	Seleziona un lancio Yut per aumentare la probabilità che esca.
MINI_GAME_YUTNORI_REMAIN_COUNT	Mosse
MINI_GAME_YUTNORI_REWARD_TEXT	Ricompensa
MINI_GAME_YUTNORI_SCORE	Punteggio
MINI_GAME_YUTNORI_START_TEXT	Start
MINI_GAME_YUTNORI_THROW	Lancia
MINI_GAME_YUTNORI_TITLE	Yutnori
MINI_GAME_YUTNORI_YUTSEM1	Do
MINI_GAME_YUTNORI_YUTSEM2	Ge
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM6	Back-do
MISTS_ISLAND_EMPIRE_NAME	Nome del regno
MISTS_ISLAND_EMPIRE_SCORE	Punteggio del regno
MISTS_ISLAND_END_TIME	Termine
MISTS_ISLAND_EXIT	Esci
MISTS_ISLAND_INFO_TEXT	Informazioni rango e status
MISTS_ISLAND_RANK	Rango
MISTS_ISLAND_SCORE	Punteggio
MISTS_ISLAND_TITLE_RANK	Informazioni rango e status
MISTS_ISLAND_TITLE_SCORE	Panoramica
MONSTER_CARD_ACHIEV_BONUS	Conquiste
MOONLIGHT_VALLEY_BOSS_SUMMONS_BUTTON	Evoca
MOONLIGHT_VALLEY_BOSS_SUMMONS_TITLE	Nykos
MOUNT_UPGRADE_SYSTEM_DISABLE_GIVE_FEED_BUTTON_POPUP_MESSAGE	Non puoi cibare il cavallo più di così.
MOUNT_UPGRADE_SYSTEM_GIVE_FEED	Ciba il cavallo
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_BUTTON_POPUP_MESSAGE	Dai tutto il cibo per cavalli per incrementare il livello.
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_NOT_ENOUGH	Non hai abbastanza cibo per cavalli.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP	Incrementa il livello
MOUNT_UPGRADE_SYSTEM_TITLE	Incrementa il livello del cavallo
MOUSEBUTTON_ATTACK	Attacca
MOUSEBUTTON_AUTO_ATTACK	Attacca automaticamente
MOUSEBUTTON_CAMERA	Videocamera
MOUSEBUTTON_SKILL	Abilità.
MUSICLIST_TITLE	Scelta della musica
MYSHOP_DECO_CANCEL	Chiudi.
MYSHOP_DECO_DEFAULT	Standard
MYSHOP_DECO_NEXT	Avanti
MYSHOP_DECO_OK	Chiudi
MYSHOP_DECO_PREV	Indietro
MYSHOP_DECO_SELECT_MODEL	Seleziona l'aspetto del tuo negozio.
MYSHOP_DECO_SELECT_TITLE	Seleziona l'aspetto del tuo titolo.
NO	No
NPC_HELPER_ATLAS_EXPAND_BUTTON_TOOLTIP	Mostra Trova-personaggi
NPC_HELPER_ATLAS_SHRINK_BUTTON_TOOLTIP	Chiudi Trova-personaggi
NPC_HELPER_ATLAS_SWITCH_TO_NPC_LOCATION_HELPER_BUTTON_TOOLTIP	La mappa cambia in Trova-personaggi
NPC_HELPER_ATLAS_SWITCH_TO_SMALL_BUTTON_TOOLTIP	Torna alla vecchia modalità di mappa
NPC_HELPER_ATLAS_TITLE	Mappa grande
NPC_HELPER_NPC_INFO_CONQUEROR_LEVEL	Liv. C
NPC_HELPER_NPC_INFO_LEVEL	Liv.
NPC_HELPER_NPC_INFO_MENU_NPC_LIST	Personaggi
NPC_HELPER_NPC_INFO_MENU_SELECT_CATEGORY	Scegli regione
NPC_HELPER_NPC_INFO_MENU_SELECT_MAP	Scegli mappa
NPC_HELPER_NPC_INFO_TITLE	Trova-personaggi
NPC_LOCATION_HELPER_MAP_CATEGORY_EMPIRE_DUNGEON	Dungeon
NPC_LOCATION_HELPER_MAP_CATEGORY_EMPIRE_FIELD	Regni
NPC_LOCATION_HELPER_MAP_CATEGORY_EVIL_DRAGON_TERRITORY	Roccia del Drago Scuro
NPC_LOCATION_HELPER_MAP_CATEGORY_LABYRINTH	Altopiano delle Illusioni
NPC_LOCATION_HELPER_MAP_CATEGORY_NEUTRAL	Regioni neutrali
NPC_LOCATION_HELPER_MAP_CATEGORY_NEW_WORLD_DUNGEON	Dungeon di Yohara
NPC_LOCATION_HELPER_MAP_CATEGORY_NEW_WORLD_FIELD	Yohara
NPC_LOCATION_HELPER_MOB_INFO_DROP_ITEM_INFO	Bottino possibile
NPC_LOCATION_HELPER_MOB_INFO_MOB_INFO	Mostro
NPC_LOCATION_HELPER_MOB_INFO_TITLE	Compendio dei mostri
NPC_LOCATION_HELPER_QUEST_PROGRESS_STATE_ACCEPT	Accettate
NPC_LOCATION_HELPER_QUEST_PROGRESS_STATE_COMPLETE	Completate
NPC_LOCATION_HELPER_QUEST_PROGRESS_STATE_PROGRESS	Attivo
NPC_LOCATION_HELPER_TOOLTIP_DROP_ITEM_INFO	Compendio dei mostri: mostra quale bottino puoi ottenere da determinati mostri.
NPC_LOCATION_HELPER_TOOLTIP_GUILD_LAND	Terreno della gilda: info attualizzate. Si può usare 1x al minuto.
NPC_LOCATION_HELPER_TOOLTIP_MOB_INFO_SEARCH_BUTTON	Seleziona il mostro che vuoi cercare e clicca sull'icona per visualizzarne la zona. Devi attivare il Trova-mostri.
NPC_LOCATION_HELPER_TOOLTIP_MY_LOCATION	Torna alla posizione: mostra di nuovo la mappa su cui ti trovi. Se ti trovi sulla stessa mappa, la visuale sarà centrata sul tuo personaggio.
NPC_LOCATION_HELPER_TOOLTIP_SCALE_DOWN	Zoom out
NPC_LOCATION_HELPER_TOOLTIP_SCALE_UP	Zoom in
OK	Ok
OPPOSITES	Rifiuta
OPTION_ALWAYS_SHOW_NAME	Nome
OPTION_ALWAYS_SHOW_NAME_OFF	Limitato
OPTION_ALWAYS_SHOW_NAME_ON	Sempre
OPTION_ATTACKED_MOTION	Animazioni
OPTION_ATTACKED_MOTION_ALL	Normale
OPTION_ATTACKED_MOTION_ALL_DESC	Verranno visualizzate tutte le animazioni del corpo a corpo.
OPTION_ATTACKED_MOTION_SELF	Presazione
OPTION_ATTACKED_MOTION_SELF_DESC	Alcune animazioni del corpo a corpo vengono visualizzate solo al personaggio e al bersaglio.
OPTION_BLOCK	Blocca
OPTION_BLOCK_EXCHANGE	Commercio
OPTION_BLOCK_FRIEND	Amici
OPTION_BLOCK_GUILD	Gilda
OPTION_BLOCK_PARTY	Gruppo
OPTION_BLOCK_PARTY_REQUEST	Richiesta
OPTION_BLOCK_WHISPER	Chat privata
OPTION_CAMERA_DISTANCE	Videocamera
OPTION_CAMERA_DISTANCE_LONG	Lontano
OPTION_CAMERA_DISTANCE_SHORT	Vicino
OPTION_DELETE_MOBILE_BUTTON	Cancella numero di cellulare
OPTION_EFFECT	Visualizzatore dei bersagli
OPTION_ENV_EFFECT	Ambiente
OPTION_ENV_EFFECT_OFF	Off
OPTION_ENV_EFFECT_ON	On
OPTION_FOG	Nebbia
OPTION_FOG_DENSE	Molto
OPTION_FOG_LIGHT	Poco
OPTION_FOG_MIDDLE	Media
OPTION_FOG_MODE	Nebbia
OPTION_FOG_MODE_OFF	Off
OPTION_FOG_MODE_ON	On
OPTION_FOG_OFF	Off
OPTION_FOG_ON	On
OPTION_INPUT_MOBILE_BUTTON	Inserisci il numero di cellulare
OPTION_KEY_SETTING	Tastiera
OPTION_LANGUAGE_CHANGE	Usa
OPTION_LANGUAGE_SELECT	Lingua
OPTION_LOOTING_SETTING	Bottino
OPTION_MOBILE	Cellulare
OPTION_MOB_INFO	Info mostri
OPTION_MOB_INFO_AGGR	Aggressivo
OPTION_MOB_INFO_LEVEL	Livello
OPTION_MUSIC	Musica
OPTION_MUSIC_CHANGE	Cambia
OPTION_MUSIC_DEFAULT_THEMA	Titolo standard di Metin2
OPTION_NAME_COLOR	Colore Nome
OPTION_NAME_COLOR_EMPIRE	Nome del regno
OPTION_NAME_COLOR_NORMAL	Normale
OPTION_NIGHT_MODE	Notte
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_PVPMODE	Modo PvP
OPTION_PVPMODE_FREE	Libero
OPTION_PVPMODE_FREE_TOOLTIP	Puoi attaccare tutti i giocatori.
OPTION_PVPMODE_GUILD	Gilda
OPTION_PVPMODE_GUILD_TOOLTIP	Puoi attaccare tutti i giocatori esclusi membri della Gilda.
OPTION_PVPMODE_PEACE	Pace
OPTION_PVPMODE_PEACE_TOOLTIP	Non puoi attaccare i giocatori del tuo regno.
OPTION_PVPMODE_REVENGE	Ostile
OPTION_PVPMODE_REVENGE_TOOLTIP	Puoi attaccare solo giocatori con gradi diversi dal tuo.
OPTION_SALESTEXT	Nome del negozio
OPTION_SALESTEXT_VIEW_OFF	nascondi
OPTION_SALESTEXT_VIEW_ON	visualizza
OPTION_SETTING	Apri
OPTION_SHADOW_QUALITY	Qualità ombra
OPTION_SHADOW_QUALITY_AVERAGE	Media
OPTION_SHADOW_QUALITY_AVERAGE_TOOLTIP	Qualità ombra media
OPTION_SHADOW_QUALITY_BAD	Bassa
OPTION_SHADOW_QUALITY_BAD_TOOLTIP	Qualità ombra bassa
OPTION_SHADOW_QUALITY_GOOD	Alta
OPTION_SHADOW_QUALITY_GOOD_TOOLTIP	Qualità ombra alta
OPTION_SHADOW_TARGET	Qualità obiettivo
OPTION_SHADOW_TARGET_ALL	4
OPTION_SHADOW_TARGET_ALL_TOOLTIP	Qualità obiettivi (tutti)
OPTION_SHADOW_TARGET_GROUND	2
OPTION_SHADOW_TARGET_GROUND_AND_SOLO	3
OPTION_SHADOW_TARGET_GROUND_AND_SOLO_TOOLTIP	Ombra sfondo e Ombra giocatori
OPTION_SHADOW_TARGET_GROUND_TOOLTIP	Ombra sfondo
OPTION_SHADOW_TARGET_NONE	1
OPTION_SHADOW_TARGET_NONE_TOOLTIP	Nessun ombra
OPTION_SNOW_MODE	Nevicata
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Neve
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Effetti
OPTION_TARGET_BOARD	Menù bersaglio
OPTION_TARGET_BOARD_NO_VIEW	Chiudi
OPTION_TARGET_BOARD_VIEW	Visualizza
OPTION_TITLE	Opzioni
OPTION_VIEW_CHAT	Righe di Chat
OPTION_VIEW_CHAT_OFF	nascondi
OPTION_VIEW_CHAT_ON	visualizza
OPTION_VIEW_DISTANCE	Ampiezza visuale
OTHER_WORLD_COUNT_TEXT	Quantità
OTHER_WORLD_DEAD_SOUL_TEXT	Anima defunta
OTHER_WORLD_DROP_DOWN_X1	x1
OTHER_WORLD_DROP_DOWN_X5	x5
OTHER_WORLD_DROP_DOWN_X10	x10
OTHER_WORLD_EVENT_TIME_TEXT	Giorni che mancano alla scomparsa di Altromondo
OTHER_WORLD_EVENT_TITLE	Vai nell'Altromondo.
OTHER_WORLD_EVE_EVENT_TIME_TEXT	Giorni che mancano all'apertura del portale
OTHER_WORLD_EXCHANGE_MENU_TEXT	Scambio
OTHER_WORLD_EXCHANGE_TEXT	Scambio
OTHER_WORLD_EXIT_BUTTON	Esci
OTHER_WORLD_HELL_GATE_KEY_TEXT	Chiave Asmodeus
OTHER_WORLD_ITEM_NAME_TEXT	item
OTHER_WORLD_LIFE_AND_DEATH_LIST_TEXT	Lettera oscura
OTHER_WORLD_NEED_TEXT	Necessario
OTHER_WORLD_REINCARNATION_WATER_TEXT	Acqua della vita
OTHER_WORLD_SLASH_TEXT	/
OTHER_WORLD_WISP_BOARD_TITLE	Numero di Fiamme letali
PARTY_MATCH_TEXT_DUNGEON_NAME	Dungeon
PARTY_MATCH_TEXT_DUNGEON_SELECT	Scegli Dungeon
PARTY_MATCH_TEXT_ENTREE_LEVEL	Livello: %d
PARTY_MATCH_TEXT_LEVEL_LIMIT	Livello richiesto
PARTY_MATCH_TEXT_REQUEST_MATCH	Cerca
PARTY_MATCH_TEXT_REQUEST_MATCH_CANCEL	Interrompi
PARTY_MATCH_TEXT_REQUIRED_ITEMS	Item richiesto/i
PARTY_MEMBER_INFO_NAME	Nome dei membri del gruppo
PASSIVE_ATTR_ACTIVATE_BUTTON	Attiva
PASSIVE_ATTR_UI_ADD_BUTTON	Aggiungi
PASSIVE_ATTR_UI_CHARGE_BUTTON	Ricarica
PASSIVE_ATTR_UI_TITLE	Bonus Reliquia
PASSWORD_DESC_1	Digita una password,
PASSWORD_DESC_2	per aprire il magazzino.
PASSWORD_DESC_3	Hai già cambiato la password?
PASSWORD_DESC_4	In caso non l'avessi fatto, la tua password è: "000000".
PASSWORD_DESC_5	Cambia la tua password nel magazzino.
PASSWORD_TITLE	Salva-PW
PET_AGE_TEXT	Età del pet
PET_ATTR_CHANGE_ITEM_TEXT	Incanta pet
PET_ATTR_CHANGE_TITLE	Modifica tipo di pet
PET_ATTR_CONFIRMATION	Modifica
PET_ATTR_DETERMINE_TITLE	Nuovo tipo di pet
PET_ATTR_OK	Chiudi
PET_CHANGE_TEXT	Pet
PET_FEED_TITLE	Nutri
PET_FEED_TITLE_EVOLVE	Evoluzione
PET_FEED_TITLE_EXP	EXP item
PET_FFED_BUTTON_TEXT	Nutri
PET_HATCHING_BUTTON	Fai schiudere
PET_HATCHING_NIK	Nome del pet
PET_HATCHING_WINDOW_TITLE	Incubatrice
PET_INFORMATION_ABILITIES	Bonus
PET_INFORMATION_AGE	Età
PET_INFORMATION_COSTUME_BONUS	Bonus costume
PET_INFORMATION_DEFENCE	Difesa
PET_INFORMATION_EVOL_BUTTON	Sviluppo
PET_INFORMATION_EXP	Esperienza
PET_INFORMATION_EXP_BUTTON	Item EXP
PET_INFORMATION_HP	HP
PET_INFORMATION_LEVEL	Livello
PET_INFORMATION_LIFE	Durata
PET_INFORMATION_LIFETIME_BUTTON	Nutri
PET_INFORMATION_LIFE_TIME	Ore
PET_INFORMATION_SKILL	Abilità
PET_INFORMATION_SP	MP
PET_INFORMATION_TITLE	Pet
PET_NAME_CHANGE_BUTTON	Modifica
PET_NAME_CHANGE_WINDOW_TITLE	Modifica nome
PET_POTENTIAL_TITLE	Potenziale
PET_REVIVE_BUTTON	Resuscita
PET_REVIVE_CANCEL_BUTTON	Annulla
PET_REVIVE_MATERIAL_TITLE	Materiale
PET_REVIVE_REUSLT_TEXT	Risultato
PET_REVIVE_TARGET	Pet da resuscitare
PET_REVIVE_TITLE	Resuscita pet
PICK_MONEY_TITLE	Dividi
POPUP_NOTICE_BUTTON_TEXT	Missioni e altro
PREMIUM_PRIVATE_SHOP	Negozio Premium Privato
PREMIUM_PRIVATE_SHOP_ITEM_TAKE_OUT	Ritira oggetto
PREMIUM_PRIVATE_SHOP_MODIFY_BUTTON	Gestisci
PREMIUM_PRIVATE_SHOP_NOTICE_MODIFY	In questo momento stai gestendo il Negozio Privato.
PREMIUM_PRIVATE_SHOP_NOTICE_NONE	Il Negozio Privato non è aperto.
PREMIUM_PRIVATE_SHOP_NOTICE_NO_TICKET	Nessun Ticket
PREMIUM_PRIVATE_SHOP_NOTICE_OPEN	Il Negozio Privato è aperto.
PREMIUM_PRIVATE_SHOP_REMAIN_TEXT_ICON	Tempo rimanente
PREMIUM_PRIVATE_SHOP_REOPEN_BUTTON	Apri
PREMIUM_PRIVATE_SHOP_SHOP_CLOSE_BUTTON	Chiudi negozio
PREMIUM_PRIVATE_SHOP_TAX_ADJUSTMENT_BUTTON	Ritira
PREMIUM_PRIVATE_SHOP_TAX_ADJUSTMENT_DIALOG_TITLE	Ritira
PREMIUM_PRIVATE_SHOP_TITLE	Negozio Privato
PREMIUM_PRIVATE_SHOP_WON_ICON	Won ritirabili
PREMIUM_PRIVATE_SHOP_YANG_ICON	Yang ritirabili
PRIVATESHOPSEARCH_BUY	Compra
PRIVATESHOPSEARCH_COUNT	Quantità
PRIVATESHOPSEARCH_ITEMNAME	Nome
PRIVATESHOPSEARCH_ITEMTYPE	Oggetti
PRIVATESHOPSEARCH_JOB	Classe
PRIVATESHOPSEARCH_LEVEL	Livello
PRIVATESHOPSEARCH_PRICE	Prezzo
PRIVATESHOPSEARCH_REFINE	Livello dell'oggetto
PRIVATESHOPSEARCH_SEARCH	Cerca
PRIVATESHOPSEARCH_SEARCH_BAR	Cerca
PRIVATESHOPSEARCH_SELECT	Scegli
PRIVATESHOPSEARCH_SELLER	Venditore
PRIVATESHOPSEARCH_SORT	Organizza
PRIVATE_SHOP_CLOSE_BUTTON	Chiudi negozio
PRIVATE_SHOP_MAP_EXIT_BUTTON	Esci
PRIVATE_SHOP_NAME	Nome del negozio
PRIVATE_SHOP_SEARCH_BY_VNUM_BOARD_TITLE	Tutti i risultati
PRIVATE_SHOP_SEARCH_BY_VNUM_CANCEL_BUTTON_TEXT	Annulla
PRIVATE_SHOP_SEARCH_BY_VNUM_SEARCH_BUTTON_TEXT	Cerca
PRIVATE_SHOP_TITLE	Crea un negozio privato
QUEST_UI_TEXT_COLLECTION	Missioni del biologo
QUEST_UI_TEXT_DAILY	Missione giornaliera
QUEST_UI_TEXT_EVENT	Missioni dell'evento
QUEST_UI_TEXT_LEVELUP	Missione di caccia
QUEST_UI_TEXT_MAIN	Missioni principali
QUEST_UI_TEXT_SCROLL	Missioni dei Libri missione
QUEST_UI_TEXT_SUB	Missioni secondarie
QUEST_UI_TEXT_SYSTEM	Missioni di gioco
RAMADAN_EVENT_TITL	Evento del Ramadan
REFINE_COST	Costi di miglioramento: 0 Yang
REFINE_ELEMENT_CHANGE_COST_TITLE	Costi:
REFINE_ELEMENT_CHANGE_DARK	Oscurità
REFINE_ELEMENT_CHANGE_EARTH	Terra
REFINE_ELEMENT_CHANGE_ELECT	Lampo
REFINE_ELEMENT_CHANGE_FIRE	Fuoco
REFINE_ELEMENT_CHANGE_ICE	Ghiaccio
REFINE_ELEMENT_CHANGE_TITLE	Modifica elemento
REFINE_ELEMENT_CHANGE_WIND	Vento
REFINE_ELEMENT_DOWNGRADE_TITLE	Diminuzione livello
REFINE_ELEMENT_UPGRADE_TITLE	Miglioramento
REFINE_INFO	Probabilità di successo del miglioramento: 100%
REFINE_MONEY	Tassa sul raffinamento
REFINE_SELECT	Raffinamento
REFINE_TTILE	Miglioramenti
REPORT_VIOLENT_WHISPER	
RESTART_GIVEUP	Arrenditi
RESTART_HERE	Ricomincia qui
RESTART_IMMEDIATE	Reincarnazione
RESTART_TOWN	Ricomincia nella città.
ROULETTE_SPECIAL_TITLE	Ricompense (%s)
ROULETTE_SPIN_TEXT1	GIRA
ROULETTE_SPIN_TEXT2	50 Anime
ROULETTE_SPIN_TEXT3	250.000 Yang
ROULETTE_TITLE	Ricompense
SAFE_CHANGE_PASSWORD	Modifica password
SAFE_TITLE	Magazzino
SELECT_ATTR_CHANGED	Nuovi
SELECT_ATTR_CURRENT	Vecchi
SELECT_ATTR_SELECT	Scegli
SELECT_ATTR_TITLE	Incanta oggetto+
SELECT_ATT_GRADE	STR
SELECT_BOX_CANCEL	Non accettare
SELECT_BOX_LIST	Ricompense
SELECT_BOX_NOTTHING_USABLE_ITEM	Non è stato trovato alcun item per te. \n\nRimuovi un filtro.
SELECT_BOX_QUESTION_RECV_ITEM_1	Item selezionato
SELECT_BOX_QUESTION_RECV_ITEM_2	%s\n\n %d
SELECT_BOX_QUESTION_RECV_ITEM_3	Vuoi ottenere l'item?
SELECT_BOX_RECEIVE	Accetta
SELECT_BOX_SELECTED_ITEM_TEXT_1	Scegli un item\n
dalla lista.
SELECT_BOX_SELECTED_ITEM_TEXT_2	%s, %d
SELECT_BOX_SELECTED_REWARD	Ricompensa scelta
SELECT_BOX_TITLE	Scegli ricompensa
SELECT_BOX_TOOLTIP_ONLY_USABLE_ITEM	Filtra in base al sesso, alla classe e alla professione del personaggio per visualizzare solo gli item corrispondenti.
SELECT_BOX_TOOLTIP_REWIND_BUTTON	Torna alla pagina con l'item selezionato.
SELECT_CREATE	Crea
SELECT_DELETE	Cancella
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Nome del Regno
SELECT_EXIT	Termina
SELECT_HP	VIT
SELECT_LEVEL	Livello
SELECT_METIN_STONE_TITLE	Scegli pietra spirituale
SELECT_NAME	Nome
SELECT_NO_GUILD	Nessuna Gilda
SELECT_ORIGIN_STAT	Punto di partenza
SELECT_PLAYTIME	Tempo di gioco
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_SUNGMA_STAT	Volontà SungMa
SELECT_TITLE	Scegli titolo
SHOP_BUY	Compra
SHOP_REPURCHASE_BUTTON	Riacquista
SHOP_REPURCHASE_TITLE	Riacquisto
SHOP_SELL	Vendi
SHOP_TITLE	Negozio
SKILL_SUPPORT_TITLE	Abilità standard
SLOT_CHAR_ENLARGE_KEY	Tasto
SLOT_CHAR_ENLARGE_KEYCHANGE	Ingrandisci il testo
SLOT_CHAR_ENLARGE_OFF	OFF
SLOT_CHAR_ENLARGE_ON	ON
SLOT_CHAR_ENLARGE_TITLE	Ingrandisci il testo
SLOT_CHAR_ENLARGE_TOOLTIP_KEY	Usa Ctrl per ingrandire il testo visualizzato.
SLOT_CHAR_ENLARGE_TOOLTIP_OFF	Non ingrandire mai il testo
SLOT_CHAR_ENLARGE_TOOLTIP_ON	Ingrandisci sempre il testo
SNOWFLAKE_STICK_EVENT_EXCHANGE_BUTTON_TEXT	Scambio
SNOWFLAKE_STICK_EVENT_EXCHANGE_PAGE_SUBTITLE_1	Scambia per 1 Bacchetta magica Fiocco di neve
SNOWFLAKE_STICK_EVENT_EXCHANGE_PAGE_SUBTITLE_2	Si possono effettuare 3 scambi durante l'evento.
SNOWFLAKE_STICK_EVENT_EXCHANGE_REWARD_BUTTON_TEXT	Ricompense
SNOWFLAKE_STICK_EVENT_TITLE	Evento Fiocchi di neve
SNOWFLAKE_STICK_EVENT_TOOLTIP_HELP_BUTTON_1	Lo scambio si può effettuare 5 volte ogni 24 ore. Tempo rimanente prima del reset:
SNOWFLAKE_STICK_EVENT_TOOLTIP_HELP_BUTTON_2	Lo scambio si può effettuare 5 volte ogni 24 ore. Tempo rimanente prima del reset: –
SNOWFLAKE_STICK_EVENT_TOOLTIP_RIGHT_ARROW	Recupera 12 Palle di neve e 12 Rami Pupazzo di neve e scambiali per una Bacchetta magica Fiocco di neve.
SNOWFLAKE_STICK_EVENT_TOOLTIP_RIGHT_ARROW_MOUNT	Si può scambiare per 15 Bacchette magiche Fiocco di neve.
SNOWFLAKE_STICK_EVENT_TOOLTIP_RIGHT_ARROW_PET	Si può scambiare per 15 Bacchette magiche Fiocco di neve.
